pair,acronym,description,frequency_all_disciplines
"('AL', 'actividad laboral')",AL,actividad laboral,4
"('PANCCO', ""pan american crohn's and colitis organisation"")",PANCCO,pan american crohn's and colitis organisation,3
"('VHC', 'virus de hepatitis c')",VHC,virus de hepatitis c,9
"('SIS', 'síndrome de pinzamiento subacromial')",SIS,síndrome de pinzamiento subacromial,2
"('PCA', 'persistencia del conducto arterioso')",PCA,persistencia del conducto arterioso,13
"('GIMINO', 'grupo interdisciplinar mexicano de investigación en neurooncología')",GIMINO,grupo interdisciplinar mexicano de investigación en neurooncología,6
"('UNITEC', 'universidad technológica de méxico')",UNITEC,universidad technológica de méxico,4
"('RCVG', 'red centinela de vigilancia de la gripe')",RCVG,red centinela de vigilancia de la gripe,2
"('TCGA', 'transposición corregida de las grandes arterias')",TCGA,transposición corregida de las grandes arterias,2
"('DM-1', 'distrofia miotonica tipo 1')",DM-1,distrofia miotonica tipo 1,4
"('NPH', 'neuralgia posherpética')",NPH,neuralgia posherpética,4
"('DAM', 'desnutrición aguda moderada')",DAM,desnutrición aguda moderada,4
"('COX-2', 'ciclooxigenasa-2')",COX-2,ciclooxigenasa-2,2
"('D.C.R.', 'dacriocistorrinostomía')",D.C.R.,dacriocistorrinostomía,2
"('SEM', 'sistema d’emergències mèdiques')",SEM,sistema d’emergències mèdiques,4
"('COSFAMM', 'cohorte de obesidad, sarcopenia y fragilidad en adultos mayores de méxico')",COSFAMM,"cohorte de obesidad, sarcopenia y fragilidad en adultos mayores de méxico",4
"('SS', 'similares')",SS,similares,2
"('EnT', 'enfermedades no transmisibles')",EnT,enfermedades no transmisibles,2
"('VEB', 'virus de epstein-barr')",VEB,virus de epstein-barr,3
"('CEAR', 'consorcio español para la artritis reumatoide')",CEAR,consorcio español para la artritis reumatoide,3
"('P.T.C.', 'púrpura trombocitopénica crónica')",P.T.C.,púrpura trombocitopénica crónica,2
"('RM', 'resonancia magnética fetal')",RM,resonancia magnética fetal,3
"('SDSCA', 'summary of diabetes self-care activities measure')",SDSCA,summary of diabetes self-care activities measure,2
"('CFA', 'cuestionario de frecuencia alimentaria')",CFA,cuestionario de frecuencia alimentaria,1
"('ETN', 'etanercept')",ETN,etanercept,6
"('SIVFRENT-A', 'sistema de vigilancia de factores de riesgo de enfermedades no transmisibles')",SIVFRENT-A,sistema de vigilancia de factores de riesgo de enfermedades no transmisibles,2
"('IBP', 'inhibidores de bomba de protones')",IBP,inhibidores de bomba de protones,5
"('UCIP', 'unidad de cuidados intensivos pediatricos')",UCIP,unidad de cuidados intensivos pediatricos,3
"('TAVEC', 'test de aprendizaje verbal españa-complutense')",TAVEC,test de aprendizaje verbal españa-complutense,7
"('ICT', 'inhibidores de cinasas de tirosina')",ICT,inhibidores de cinasas de tirosina,2
"('RHC', 'reserva hemodinámica cerebral')",RHC,reserva hemodinámica cerebral,2
"('HZ', 'herpes zoster')",HZ,herpes zoster,10
"('ACT', 'agua corporal total')",ACT,agua corporal total,1
"('PMC', 'programa madre canguro')",PMC,programa madre canguro,6
"('ATM', 'accidentes de trabajo mortales')",ATM,accidentes de trabajo mortales,3
"('SS', 'shock séptico')",SS,shock séptico,1
"('MGIT', 'mycobacteria growth indicator tube')",MGIT,mycobacteria growth indicator tube,2
"('CPL', 'complejo posterolateral')",CPL,complejo posterolateral,4
"('PR', 'prostatectomía\xa0radical')",PR,prostatectomía radical,3
"('ATC', 'aganglionosis total del colon')",ATC,aganglionosis total del colon,1
"('ACOD', 'accion directa')",ACOD,accion directa,4
"('LCR', 'liquido cefalorraquideo')",LCR,liquido cefalorraquideo,8
"('TI', 'trasplante intestinal')",TI,trasplante intestinal,1
"('PGER', 'péridadas gestacionales espontáneas recurrentes')",PGER,péridadas gestacionales espontáneas recurrentes,3
"('RGE', 'reflujo gastroesofágico')",RGE,reflujo gastroesofágico,2
"('ENT', 'enfermedades no transmisibles')",ENT,enfermedades no transmisibles,5
"('SDRI', 'sindroma de fificultad respiratoria idiopática')",SDRI,sindroma de fificultad respiratoria idiopática,2
"('VRP', 'vitreorretinopatía proliferante')",VRP,vitreorretinopatía proliferante,9
"('ECA', 'enterobacterias')",ECA,enterobacterias,2
"('DAI', 'desfibrilador automático implantable')",DAI,desfibrilador automático implantable,2
"('PEATC', 'potenciales evocados auditivos del tallo cerebral')",PEATC,potenciales evocados auditivos del tallo cerebral,2
"('Nevil', 'nevus epidérmico verrugoso inflamatorio lineal')",Nevil,nevus epidérmico verrugoso inflamatorio lineal,4
"('IF', 'intervención farmacéutica')",IF,intervención farmacéutica,2
"('CERFB', 'cuestionario de evaluación de las relaciones familiares básicas')",CERFB,cuestionario de evaluación de las relaciones familiares básicas,2
"('TGP', 'transaminasa glutamico piruvica')",TGP,transaminasa glutamico piruvica,4
"('TC', 'trasplante cardíaco')",TC,trasplante cardíaco,5
"('EPI', 'equipos de protección individual')",EPI,equipos de protección individual,5
"('GC', 'grupo control')",GC,grupo control,3
"('ECVs', 'enfermedades cardiovasculares')",ECVs,enfermedades cardiovasculares,3
"('IAMEST', 'infarto agudo de miocardio con elevación del st')",IAMEST,infarto agudo de miocardio con elevación del st,5
"('SSHDC', 'susceptibilidad hereditaria humana para desarrollar cáncer')",SSHDC,susceptibilidad hereditaria humana para desarrollar cáncer,5
"('IC', 'insuficiencia cardiaca')",IC,insuficiencia cardiaca,16
"('LT', 'larvaterapia')",LT,larvaterapia,5
"('DCL', 'deterioro cognitivo leve')",DCL,deterioro cognitivo leve,14
"('DM', 'dieta mediterránea')",DM,dieta mediterránea,10
"('GES', 'garantías explicitas en salud')",GES,garantías explicitas en salud,2
"('NL', 'normal')",NL,normal,7
"('DMNID', 'diabetes mellitus no insulinodependiente')",DMNID,diabetes mellitus no insulinodependiente,2
"('Pisces', 'proporción de sexos del dorado coryphaena hippurus')",Pisces,proporción de sexos del dorado coryphaena hippurus,1
"('FR', 'factores de riesgo')",FR,factores de riesgo,11
"('DCoL', ""deterioro comportamental leve'"")",DCoL,deterioro comportamental leve',1
"('CVNMI', 'cánceres vesicales no músculo invasivo')",CVNMI,cánceres vesicales no músculo invasivo,2
"('EV', 'estilo de vida')",EV,estilo de vida,2
"('SQLS', 'schizophrenia quality of life scale')",SQLS,schizophrenia quality of life scale,1
"('PA', 'pancreatitis aguda')",PA,pancreatitis aguda,7
"('TBP', 'trastorno bipolar')",TBP,trastorno bipolar,2
"('NHG', 'nuevos hiperglucémicos')",NHG,nuevos hiperglucémicos,4
"('AVAC', 'años de vida ajustados por calidad')",AVAC,años de vida ajustados por calidad,4
"('CHUC', 'complejo hospitalario universitario de canarias')",CHUC,complejo hospitalario universitario de canarias,5
"('PC', 'pensamiento crítico')",PC,pensamiento crítico,1
"('TCPS', 'test de comparacion perceptual de salthouse')",TCPS,test de comparacion perceptual de salthouse,1
"('R.T.U.', 'resección transuretral')",R.T.U.,resección transuretral,4
"('VIP', 'vejiga ileal padovana')",VIP,vejiga ileal padovana,3
"('SES', 'servicio extremeño de salud')",SES,servicio extremeño de salud,2
"('ASA', 'aceite de salvado de arroz')",ASA,aceite de salvado de arroz,1
"('EP', 'embolismo pulmonar')",EP,embolismo pulmonar,3
"('DAQ', 'depression attitudes questionnaire')",DAQ,depression attitudes questionnaire,2
"('GEITDAH', 'grupo de especial interes en el trastorno por deficit de atencion/hiperactividad')",GEITDAH,grupo de especial interes en el trastorno por deficit de atencion/hiperactividad,2
"('COMESEM', 'corona metropolitana sudeste de madrid')",COMESEM,corona metropolitana sudeste de madrid,4
"('ADHD-RS-IV', 'attention-deficit/hyperactivity disorder rating scale iv')",ADHD-RS-IV,attention-deficit/hyperactivity disorder rating scale iv,2
"('AP', 'anatomo-patológico')",AP,anatomo-patológico,1
"('SICA', 'síndrome isquémico coronario agudo')",SICA,síndrome isquémico coronario agudo,1
"('AIS', 'abbreviated injury scale')",AIS,abbreviated injury scale,6
"('RH', 'receptores hormonales')",RH,receptores hormonales,1
"('PP', 'peso placentario')",PP,peso placentario,2
"('EIM', 'errores innatos del metabolismo')",EIM,errores innatos del metabolismo,4
"('SVCR', 'sindrome de vasoconstriccion cerebral reversible')",SVCR,sindrome de vasoconstriccion cerebral reversible,1
"('SUP', 'servicios de urgencias pediátricas')",SUP,servicios de urgencias pediátricas,2
"('HTA', 'histerectomía abdominal')",HTA,histerectomía abdominal,4
"('FC', 'fotocoagulación con láser')",FC,fotocoagulación con láser,2
"('ROLL', 'radioguiada de lesiones ocultas de mama')",ROLL,radioguiada de lesiones ocultas de mama,7
"('ETC', 'energía total consumida')",ETC,energía total consumida,2
"('GETH', 'grupo español de trasplante hemopoyético')",GETH,grupo español de trasplante hemopoyético,7
"('IMA', 'isquemia puede aumentar en el asma')",IMA,isquemia puede aumentar en el asma,1
"('TAO', 'tratamiento con anticoagulación oral')",TAO,tratamiento con anticoagulación oral,1
"('MIQ', 'movement imagery questionnaire')",MIQ,movement imagery questionnaire,2
"('MRV', 'monitoreo rápido de vacunación')",MRV,monitoreo rápido de vacunación,6
"('RST', 'receptor soluble de transferrina')",RST,receptor soluble de transferrina,4
"('HSP-90', 'heat shock protein-90')",HSP-90,heat shock protein-90,4
"('EC', 'enfermedad celiaca')",EC,enfermedad celiaca,1
"('España', 'españolas. 31 mayo, 1 y 2 junio 1984 sevilla')",España,"españolas. 31 mayo, 1 y 2 junio 1984 sevilla",2
"('SCP', 'scale for contraversive pushing')",SCP,scale for contraversive pushing,3
"('FHD', 'fiebre hemorrágica por dengue')",FHD,fiebre hemorrágica por dengue,5
"('SED', 'sociedad española de diabetes')",SED,sociedad española de diabetes,4
"('S.P.O.D.', 'sindrome periodontal orientador de diabétes')",S.P.O.D.,sindrome periodontal orientador de diabétes,2
"('IDP', 'inmunodeficiencias primarias')",IDP,inmunodeficiencias primarias,7
"('MMSE', 'mini mental status examination')",MMSE,mini mental status examination,4
"('TNE', 'transición nutricional española')",TNE,transición nutricional española,3
"('CIMEC-V', 'cuestionario de infl uencias del modelo estético corporal, versión para varones')",CIMEC-V,"cuestionario de infl uencias del modelo estético corporal, versión para varones",2
"('DVE', 'drenaje ventricular externo')",DVE,drenaje ventricular externo,2
"('SB', 'síndrome de burnout')",SB,síndrome de burnout,3
"('EAD', 'encefalomielitis aguda diseminada')",EAD,encefalomielitis aguda diseminada,4
"('SCOFF', 'sick, control, one, fat, food')",SCOFF,"sick, control, one, fat, food",2
"('He-Ne', 'helio-neón')",He-Ne,helio-neón,4
"('ISP', 'inventario de síntomas prefrontales')",ISP,inventario de síntomas prefrontales,6
"('EPS', 'entidades promotoras de salud')",EPS,entidades promotoras de salud,6
"('AIMA', 'atlas interactivo de mortalidad en andalucía')",AIMA,atlas interactivo de mortalidad en andalucía,2
"('INR', 'instituto nacional de rehabilitación')",INR,instituto nacional de rehabilitación,4
"('ABP', 'aprendizaje basado en problemas')",ABP,aprendizaje basado en problemas,4
"('GCED', 'grupo catalán de estudio de la diabetes')",GCED,grupo catalán de estudio de la diabetes,4
"('INNSZ', 'instituto nacional de la nutrición ""salvador zubirán""')",INNSZ,"instituto nacional de la nutrición ""salvador zubirán""",5
"('MU', 'médicos de urgencias')",MU,médicos de urgencias,3
"('NSRR', 'nutricional para mortalidad en pacientes críticamente enfermos')",NSRR,nutricional para mortalidad en pacientes críticamente enfermos,4
"('PHM', 'perfil hormonal masculino')",PHM,perfil hormonal masculino,1
"('H.P.', 'hipertension portal""')",H.P.,"hipertension portal""",4
"('MIR', 'médico interno residente')",MIR,médico interno residente,1
"('MC', 'malformacion de chiari')",MC,malformacion de chiari,5
"('LNH', 'linfomas no hodgkin')",LNH,linfomas no hodgkin,6
"('RECAVA', 'red temática de investigación cooperativa en enfermedades cardiovasculares')",RECAVA,red temática de investigación cooperativa en enfermedades cardiovasculares,1
"('P.A.D.', 'peritonitis agudas difusas')",P.A.D.,peritonitis agudas difusas,1
"('PNB', 'péptido natriurético b')",PNB,péptido natriurético b,2
"('M.I.T.', 'migración linfocitaria')",M.I.T.,migración linfocitaria,1
"('SCAS', 'spence children anxiety scale')",SCAS,spence children anxiety scale,2
"('Neuro-ACMI', 'neurología crítica de la asociación catalana de medicina intensiva')",Neuro-ACMI,neurología crítica de la asociación catalana de medicina intensiva,4
"('FVV', 'fístula vesico-vaginal')",FVV,fístula vesico-vaginal,3
"('PAS', 'presión arterial sistólica')",PAS,presión arterial sistólica,5
"('MT', 'megacolon tóxico')",MT,megacolon tóxico,5
"('RMM', 'razón de muerte materna')",RMM,razón de muerte materna,2
"('CRIR', 'cirugía retrógrada intrarrenal')",CRIR,cirugía retrógrada intrarrenal,9
"('US', 'ultrasonido')",US,ultrasonido,3
"('OR', 'odds ratios ajustadas')",OR,odds ratios ajustadas,3
"('DSM', 'desarrollo psicomotor')",DSM,desarrollo psicomotor,4
"('TE', 'tratamiento estandar')",TE,tratamiento estandar,1
"('PPC', 'patología pulmonar crónica')",PPC,patología pulmonar crónica,3
"('TDA', 'tasa de declive anual')",TDA,tasa de declive anual,3
"('ERV', 'enterococo resistente a vancomicina')",ERV,enterococo resistente a vancomicina,3
"('ELCP', 'enfermedad de legg-calvé-perthes')",ELCP,enfermedad de legg-calvé-perthes,1
"('CSPL', 'colposacropexia laparoscópica')",CSPL,colposacropexia laparoscópica,5
"('CVL', 'con la video-laparoscopia')",CVL,con la video-laparoscopia,2
"('EA', 'efectos adversos')",EA,efectos adversos,2
"('AMB', 'años del área metropolitana de barranquilla')",AMB,años del área metropolitana de barranquilla,2
"('PP5', 'proteína placentaria 5')",PP5,proteína placentaria 5,4
"('CCC', 'congènita crítica')",CCC,congènita crítica,4
"('DPBE', 'diálisis peritoneal basada en la evidencia')",DPBE,diálisis peritoneal basada en la evidencia,1
"('TDEH', 'tiempo de estancia hospitalaria')",TDEH,tiempo de estancia hospitalaria,1
"('ATP III', 'adultos iii')",ATP III,adultos iii,3
"('GIST', 'gastrointestinales estromales')",GIST,gastrointestinales estromales,6
"('ENDS', 'encuesta nacional de salud')",ENDS,encuesta nacional de salud,2
"('PCV', 'procarbacina, lomustina y vincristina')",PCV,"procarbacina, lomustina y vincristina",2
"('DCR-E', 'dacriocistorrinostomía endocanalicular')",DCR-E,dacriocistorrinostomía endocanalicular,2
"('HSV-2', 'herpes simple-2')",HSV-2,herpes simple-2,7
"('GCAO', 'grupo cooperativo argentino de oncourología')",GCAO,grupo cooperativo argentino de oncourología,5
"('SAGE', 'sociedad argentina de gastroenterología')",SAGE,sociedad argentina de gastroenterología,1
"('REM', 'razones de mortalidad estandarizadas')",REM,razones de mortalidad estandarizadas,3
"('RA', 'resultados adversos')",RA,resultados adversos,1
"('II', 'información')",II,información,3
"('DN', 'dolor neuropático')",DN,dolor neuropático,5
"('SDRI', 'síndrome de distress respiratorio idiopático')",SDRI,síndrome de distress respiratorio idiopático,2
"('H.I.', 'hipercalciuria idiopática')",H.I.,hipercalciuria idiopática,1
"('TMI', 'tasas de mortalidad infantil')",TMI,tasas de mortalidad infantil,3
"('GMFM', 'gross motor function measure')",GMFM,gross motor function measure,3
"('MM', 'mieloma múltiple')",MM,mieloma múltiple,5
"('CVC', 'catéteres venosos centrales')",CVC,catéteres venosos centrales,10
"('IPM', 'intoxicación paralítica por mariscos')",IPM,intoxicación paralítica por mariscos,4
"('GIM', 'grosor intimo-medial carotídeo')",GIM,grosor intimo-medial carotídeo,5
"('CTCA', 'cierre transcateterismo del conducto arterioso')",CTCA,cierre transcateterismo del conducto arterioso,2
"('THAM', 'tris(hidroximetil)amino-metane')",THAM,tris(hidroximetil)amino-metane,5
"('Tp', 'tioprolina')",Tp,tioprolina,1
"('RR', 'recovery')",RR,recovery,7
"('A.S.', 'alopecia seborreica')",A.S.,alopecia seborreica,1
"('VPH-AR', 'virus de papiloma humano de alto riesgo')",VPH-AR,virus de papiloma humano de alto riesgo,8
"('DF', 'disfunción familiar')",DF,disfunción familiar,2
"('CPH', 'cáncer primitivo del higado')",CPH,cáncer primitivo del higado,2
"('IP', 'inhibidores de la proteasa')",IP,inhibidores de la proteasa,4
"('VIH-1', 'virus de inmunodeficiencia humana tipo 1')",VIH-1,virus de inmunodeficiencia humana tipo 1,5
"('HP', 'hipotiroidismo primario')",HP,hipotiroidismo primario,2
"('IA', 'insuficiencia arterial')",IA,insuficiencia arterial,4
"('HTP', 'hipertensión pulmonar')",HTP,hipertensión pulmonar,2
"('EAs', 'efectos adversos')",EAs,efectos adversos,7
"('SEMICYUC', 'sociedad española de medicina intensiva, crítica y unidades coronarias')",SEMICYUC,"sociedad española de medicina intensiva, crítica y unidades coronarias",6
"('ICC', 'indice cintura-cadera')",ICC,indice cintura-cadera,3
"('CI', 'consistencia interna')",CI,consistencia interna,2
"('LRH', 'litiasis renal hipercalciúrica')",LRH,litiasis renal hipercalciúrica,2
"('VEE', 'venezolana')",VEE,venezolana,1
"('SACN', 'sistemas alternativos de consumo de nicotina')",SACN,sistemas alternativos de consumo de nicotina,3
"('TMFT', 'tasa de mortalidad fetal total')",TMFT,tasa de mortalidad fetal total,5
"('PIC', 'percepción de la imagen corporal')",PIC,percepción de la imagen corporal,1
"('AEMPS', 'agencia española de medicamentos y productos sanitarios')",AEMPS,agencia española de medicamentos y productos sanitarios,1
"('SBA', 'sindrome de boca ardiente')",SBA,sindrome de boca ardiente,3
"('REGITELL', 'registro de pacientes con ataque isquémico transitorio de lleida')",REGITELL,registro de pacientes con ataque isquémico transitorio de lleida,5
"('CFP', 'cefditoreno pivoxilo')",CFP,cefditoreno pivoxilo,7
"('ARP', 'activadad de renina plasmática')",ARP,activadad de renina plasmática,1
"('IISP', 'invasivas por streptococcus pyogenes')",IISP,invasivas por streptococcus pyogenes,3
"('H.D.A.', 'hemorragia digestiva alta')",H.D.A.,hemorragia digestiva alta,4
"('SABE', 'salud, bienestar y envejecimiento')",SABE,"salud, bienestar y envejecimiento",7
"('ECN', 'enterocolitis necrotizante')",ECN,enterocolitis necrotizante,2
"('SG', 'sobrevida global')",SG,sobrevida global,3
"('SAHS', 'sindrome de apneas-hipopneas')",SAHS,sindrome de apneas-hipopneas,3
"('IMAO', 'inhibidores de la monoaminooxidasa')",IMAO,inhibidores de la monoaminooxidasa,2
"('ICCQ', 'indice de clasificación de complejidad quirúrgica')",ICCQ,indice de clasificación de complejidad quirúrgica,3
"('SRAA', 'sistema renina-angiotensina-aldosterona')",SRAA,sistema renina-angiotensina-aldosterona,8
"('MEB', 'microscopia electrónica de barrido')",MEB,microscopia electrónica de barrido,2
"('HBP', 'hipertrofia benigna prostática')",HBP,hipertrofia benigna prostática,1
"('HIV', 'hemorragia intraventricular')",HIV,hemorragia intraventricular,1
"('MER', 'mujeres en edad reproductiva')",MER,mujeres en edad reproductiva,2
"('SHO', 'síndrome de hipoventilación del obeso')",SHO,síndrome de hipoventilación del obeso,2
"('AE', 'autoextracción')",AE,autoextracción,3
"('Es', 'especificidad')",Es,especificidad,3
"('ADM', 'al patrón de dieta mediterránea')",ADM,al patrón de dieta mediterránea,3
"('AE', 'aterosclerosis')",AE,aterosclerosis,1
"('MMA', 'masas mediastínicas anteriores')",MMA,masas mediastínicas anteriores,4
"('TRS', 'trastornos respiratorios del sueño')",TRS,trastornos respiratorios del sueño,4
"('IRAB', 'ira baja')",IRAB,ira baja,3
"('mipth', 'monitoreo intraoperatorio de paratohormona')",mipth,monitoreo intraoperatorio de paratohormona,3
"('IL-2', 'interleucina 2')",IL-2,interleucina 2,4
"('PAS', 'presion arterial sistolica')",PAS,presion arterial sistolica,2
"('TSP', 'trabajadores de salud primaria')",TSP,trabajadores de salud primaria,1
"('CSS', 'campaña sobrevivir a la sepsis')",CSS,campaña sobrevivir a la sepsis,2
"('IRT', 'insuficiencia renal terminal,')",IRT,"insuficiencia renal terminal,",6
"('RPC', 'recomendaciones para prevenir las caídas')",RPC,recomendaciones para prevenir las caídas,6
"('VGE+VGA', 'vge y después vga')",VGE+VGA,vge y después vga,2
"('UFPE', 'unidad de atención farmacéutica a pacientes externos')",UFPE,unidad de atención farmacéutica a pacientes externos,3
"('GEECV', 'grupo de estudio de enfermedades cerebrovasculares')",GEECV,grupo de estudio de enfermedades cerebrovasculares,7
"('EVA', 'escala visual analógica')",EVA,escala visual analógica,8
"('NPp', 'nutrición parenteral precoz')",NPp,nutrición parenteral precoz,1
"('SCIVDc', 'sindrome de coagulación intravascular diseminada crónica')",SCIVDc,sindrome de coagulación intravascular diseminada crónica,4
"('URS', 'ureterorrenoscopia retrograda')",URS,ureterorrenoscopia retrograda,2
"('PS', 'preeclampsia severa')",PS,preeclampsia severa,2
"('WISCI', 'walking index spinal cord injury')",WISCI,walking index spinal cord injury,6
"('RITA', 'radiofrecuencia intersticial')",RITA,radiofrecuencia intersticial,6
"('MAC', 'medicina alternativa y complementaria')",MAC,medicina alternativa y complementaria,6
"('VBTF', 'vapor a baja temperatura con formaldehído')",VBTF,vapor a baja temperatura con formaldehído,4
"('OB', 'obesidad')",OB,obesidad,2
"('SCU', 'sangre de cordón umbilical')",SCU,sangre de cordón umbilical,2
"('OC', 'operación cesárea')",OC,operación cesárea,1
"('II', 'intestinal')",II,intestinal,3
"('TRR', 'terapia de reemplazo renal')",TRR,terapia de reemplazo renal,4
"('I-PSS', 'internacional de síntomas prostáticos')",I-PSS,internacional de síntomas prostáticos,1
"('A.T.P.', 'angioplastia transluminal percutánea')",A.T.P.,angioplastia transluminal percutánea,3
"('CS', 'controles')",CS,controles,1
"('TARV', 'terapia antirretroviral')",TARV,terapia antirretroviral,2
"('di', 'dosis inicial')",di,dosis inicial,1
"('AAS', 'acido acetilsalicilico')",AAS,acido acetilsalicilico,6
"('TC', 'tomografía computarizada')",TC,tomografía computarizada,21
"('GIDSEEN', 'grupo de identidad y diferenciación sexual de la seen')",GIDSEEN,grupo de identidad y diferenciación sexual de la seen,1
"('TDAH', 'trastorno de deficit de atencion/hiperactividad')",TDAH,trastorno de deficit de atencion/hiperactividad,6
"('T.E.C.', 'traumatismo encéfano craneano')",T.E.C.,traumatismo encéfano craneano,3
"('atenolol', 'arterial durante la ergometría. efectos del tratamiento con vasodilatadores (prazosín) versus bloqueadores beta')",atenolol,arterial durante la ergometría. efectos del tratamiento con vasodilatadores (prazosín) versus bloqueadores beta,2
"('SA', 'sucesos adversos')",SA,sucesos adversos,1
"('BA', 'bebidas azucaradas')",BA,bebidas azucaradas,2
"('NEM I', 'neoplasias endocrinas múltiples')",NEM I,neoplasias endocrinas múltiples,5
"('RR', 'riesgo relativo')",RR,riesgo relativo,22
"('GTI-SEUP', 'grupo de trabajo de intoxicaciones de la sociedad española de urgencias pediátricas')",GTI-SEUP,grupo de trabajo de intoxicaciones de la sociedad española de urgencias pediátricas,2
"('Cetacea', 'comportamiento del delfin manchado costero, stenella attenuata')",Cetacea,"comportamiento del delfin manchado costero, stenella attenuata",1
"('lp(a)', 'lipoproteína (a)')",lp(a),lipoproteína (a),4
"('PCSK9', 'proproteína convertasa subtilisina / kexina tipo 9')",PCSK9,proproteína convertasa subtilisina / kexina tipo 9,1
"('SEEDO', 'sociedad española para el estudio de la obesidad')",SEEDO,sociedad española para el estudio de la obesidad,1
"('UI', 'unidades internacionales')",UI,unidades internacionales,2
"('ATR', 'artroplastia total de rodilla')",ATR,artroplastia total de rodilla,7
"('vHIT', 'video head impulse test')",vHIT,video head impulse test,4
"('HLAV', 'histerectomía laparoscópica asistida vaginalmente')",HLAV,histerectomía laparoscópica asistida vaginalmente,4
"('IPL', 'injertos de piel liofilizada')",IPL,injertos de piel liofilizada,2
"('PV', 'pentavalente')",PV,pentavalente,4
"('EFG', 'especialidades farmacéuticas genéricas')",EFG,especialidades farmacéuticas genéricas,2
"('OBQ-CV', 'obsessive belief questionnaire-children version')",OBQ-CV,obsessive belief questionnaire-children version,1
"('IAH', 'indice de apnea/hipopnea')",IAH,indice de apnea/hipopnea,3
"('TVP', 'trombosis venosa profunda')",TVP,trombosis venosa profunda,9
"('EFBA', 'epilepsia focal benigna atipica')",EFBA,epilepsia focal benigna atipica,2
"('CEA-N', 'cuestionario de expectativas hacia el alcohol para niños de argentina')",CEA-N,cuestionario de expectativas hacia el alcohol para niños de argentina,1
"('PAC', 'porcentaje anual de cambio')",PAC,porcentaje anual de cambio,4
"('VAG', 'vacunación antigripal')",VAG,vacunación antigripal,11
"('MD', 'mediana')",MD,mediana,2
"('E.T.S.', 'enfermedades sexualmente transmitidas')",E.T.S.,enfermedades sexualmente transmitidas,2
"('OR', 'ohd en madres')",OR,ohd en madres,2
"('SNS', 'servicio nacional de salud')",SNS,servicio nacional de salud,4
"('NE', 'nutrición enteral')",NE,nutrición enteral,12
"('FIWOS', 'first international workshop on ocular sarcoidosis')",FIWOS,first international workshop on ocular sarcoidosis,5
"('CONIN', 'corporación para la nutrición infantil')",CONIN,corporación para la nutrición infantil,3
"('PERSTEMI', 'peruvian registry of st-segment elevation myocardial infarction')",PERSTEMI,peruvian registry of st-segment elevation myocardial infarction,2
"('LI', 'lesión intraepitelial')",LI,lesión intraepitelial,6
"('TDI', 'trastornos del desarrollo intelectual')",TDI,trastornos del desarrollo intelectual,9
"('UITB', 'unidad de investigación en tuberculosis de barcelona')",UITB,unidad de investigación en tuberculosis de barcelona,10
"('AI', 'aneurismas intracraneales')",AI,aneurismas intracraneales,7
"('MORTAR', 'mortalidad de pacientes vih (+) chilenos: estudio caso-control')",MORTAR,mortalidad de pacientes vih (+) chilenos: estudio caso-control,4
"('I.A.E.', 'inseminación artificial con semen del esposo')",I.A.E.,inseminación artificial con semen del esposo,2
"('CuSEMF', 'curso semiescolarizado de especialización en medicina familiar')",CuSEMF,curso semiescolarizado de especialización en medicina familiar,1
"('AEDV', 'academia española de dermatología y venereología')",AEDV,academia española de dermatología y venereología,3
"('EAEH', 'enfermedad de hirschsprung')",EAEH,enfermedad de hirschsprung,1
"('ECPP', 'estudio chileno de prevalencia de patología psiquiátrica (dsm-iii-r/cidi)')",ECPP,estudio chileno de prevalencia de patología psiquiátrica (dsm-iii-r/cidi),4
"('DE', 'disfunción eréctile')",DE,disfunción eréctile,3
"('SPO', 'síndrome de platipnea-ortodeoxia')",SPO,síndrome de platipnea-ortodeoxia,1
"('TaETM', 'transanal etm')",TaETM,transanal etm,4
"('TTPA', 'tromboplastina parcial activado')",TTPA,tromboplastina parcial activado,6
"('RCE', 'relación cintura-estatura')",RCE,relación cintura-estatura,3
"('ERCA', 'enfermedad renal cronica avanzada')",ERCA,enfermedad renal cronica avanzada,7
"('FM', 'facultad de medicina')",FM,facultad de medicina,1
"('ATSA', 'a la tsa')",ATSA,a la tsa,2
"('E.M.I.H.', 'encefalopatía mioclónica infantil hipsarrítmica')",E.M.I.H.,encefalopatía mioclónica infantil hipsarrítmica,3
"('Nematoda', 'nematodo parásito romanomermis iyengari (welch, 1964)')",Nematoda,"nematodo parásito romanomermis iyengari (welch, 1964)",7
"('AHA', 'american heart association')",AHA,american heart association,4
"('RRE', 'rehabilitacion del reconocimiento de emociones')",RRE,rehabilitacion del reconocimiento de emociones,3
"('Aecosan', 'agencia española de consumo, seguridad alimentaria y nutrición')",Aecosan,"agencia española de consumo, seguridad alimentaria y nutrición",1
"('TCMD-16', 'tomografía computarizada de 16 detectores')",TCMD-16,tomografía computarizada de 16 detectores,1
"('DTA', 'descenso trans-abdominal')",DTA,descenso trans-abdominal,1
"('TMG', 'trastorno mental grave')",TMG,trastorno mental grave,2
"('ETA', 'enfermedades transmitidas por los alimentos')",ETA,enfermedades transmitidas por los alimentos,1
"('ICFEP', 'insuficiencia cardiaca con fraccion de expulsion preservada')",ICFEP,insuficiencia cardiaca con fraccion de expulsion preservada,1
"('IRCV', 'integrado de riesgo cardiovascular')",IRCV,integrado de riesgo cardiovascular,3
