pair,acronym,description
"('EHEC', 'enterohemorrágico')",EHEC,enterohemorrágico
"('REM', 'razones de mortalidad estandarizadas')",REM,razones de mortalidad estandarizadas
"('ISVP', 'instrumento índice de severidad de violencia de pareja')",ISVP,instrumento índice de severidad de violencia de pareja
"('ESL', 'eslicarbacepina')",ESL,eslicarbacepina
"('ICAM', ""institut català d'avaluacions mèdiques"")",ICAM,institut català d'avaluacions mèdiques
"('IRC', 'insuficiencia renal crónica')",IRC,insuficiencia renal crónica
"('FCT', 'figura compleja de taylor')",FCT,figura compleja de taylor
"('TMCL', 'tiempo medio de caída libre')",TMCL,tiempo medio de caída libre
"('MNA', 'mini nutritional assesment')",MNA,mini nutritional assesment
"('GPSIDA', 'grupos de prevención del sida')",GPSIDA,grupos de prevención del sida
"('II', 'información')",II,información
"('DAS', 'de ansiedad ante la muerte')",DAS,de ansiedad ante la muerte
"('DI', 'discapacidad intelectual')",DI,discapacidad intelectual
"('EHGNA', 'enfermedad por hígado graso no alcohólico')",EHGNA,enfermedad por hígado graso no alcohólico
"('ECI-4', 'early childhood inventory-4')",ECI-4,early childhood inventory-4
"('PVC', 'presión venosa central')",PVC,presión venosa central
"('SUP', 'servicio de urgencias pediátricas')",SUP,servicio de urgencias pediátricas
"('BBAQ', 'barriers to being active quiz')",BBAQ,barriers to being active quiz
"('NDM', 'nueva delhi metalo beta-lactamasas')",NDM,nueva delhi metalo beta-lactamasas
"('IgIV', 'inmunoglobulina intravenosa')",IgIV,inmunoglobulina intravenosa
"('IMCr', 'imc real')",IMCr,imc real
"('HPN', 'hemoglobinuria paroxistica nocturna')",HPN,hemoglobinuria paroxistica nocturna
"('IR', 'imt, índice de resistencia')",IR,"imt, índice de resistencia"
"('AVPMP', 'años de vida perdidos por muerte prematura')",AVPMP,años de vida perdidos por muerte prematura
"('TAP', 'teoría de la acción planificada')",TAP,teoría de la acción planificada
"('FANs', 'florecimiento de algas nocivas')",FANs,florecimiento de algas nocivas
"('SARM', 'staphylococcus aureus resistente a la meticilina')",SARM,staphylococcus aureus resistente a la meticilina
"('ENN', 'edulcorantes no nutritivos')",ENN,edulcorantes no nutritivos
"('SNT', 'sindrome neurologico tardio')",SNT,sindrome neurologico tardio
"('AUDIT', 'alcohol use disorders identification test')",AUDIT,alcohol use disorders identification test
"('Dx/HA', 'dextranómreo/ácido hialurónico')",Dx/HA,dextranómreo/ácido hialurónico
"('MMC', 'mitomycin c')",MMC,mitomycin c
"('C.P.R.E.', 'colangio pancreatografía retrógrada por vía endoscópica')",C.P.R.E.,colangio pancreatografía retrógrada por vía endoscópica
"('SVCR', 'sindrome de vasoconstriccion cerebral reversible')",SVCR,sindrome de vasoconstriccion cerebral reversible
"('CVF', 'capacidad vital forzada')",CVF,capacidad vital forzada
"('CS', 'centros de salud')",CS,centros de salud
"('PNED', 'progetto nazionale emorragia digestiva')",PNED,progetto nazionale emorragia digestiva
"('SWLS', 'satisfaction with life scale')",SWLS,satisfaction with life scale
"('SEPHO', 'sociedad española de pediatría hospitalaria')",SEPHO,sociedad española de pediatría hospitalaria
"('CIE-10', 'clasificacion internacional de enfermedades, 10.ª revision')",CIE-10,"clasificacion internacional de enfermedades, 10.ª revision"
"('AEHH', 'asociación española de hematología y hemoterapia')",AEHH,asociación española de hematología y hemoterapia
"('IAM-CEST', 'infarto agudo al miocardio con elevación del st')",IAM-CEST,infarto agudo al miocardio con elevación del st
"('PEG', 'para su edad gestacional')",PEG,para su edad gestacional
"('TC', 'tomografia computarizada')",TC,tomografia computarizada
"('parte I', 'parkinson avanzada. características clínicas y tratamiento')",parte I,parkinson avanzada. características clínicas y tratamiento
"('media', 'medida')",media,medida
"('EV-D68', 'enterovirus d68')",EV-D68,enterovirus d68
"('SALVAR', 'sistema de administración, logística y vigilancia de antirretrovirales')",SALVAR,"sistema de administración, logística y vigilancia de antirretrovirales"
"('DMAE', 'degeneración macular asociada a la edad')",DMAE,degeneración macular asociada a la edad
"('PV', 'pitiriasis versicolor')",PV,pitiriasis versicolor
"('CMC', 'ciclo de mejora continua')",CMC,ciclo de mejora continua
"('SPA', 'sustancias psicoactivas')",SPA,sustancias psicoactivas
"('MBI', 'maslach burnout inventory')",MBI,maslach burnout inventory
"('EEV', 'encefalitis equina venezolana')",EEV,encefalitis equina venezolana
"('IOM', 'institute of medicine')",IOM,institute of medicine
"('AP', 'admisión primaria')",AP,admisión primaria
"('AT', 'al trigo')",AT,al trigo
"('TDR', 'tesis doctorales en red')",TDR,tesis doctorales en red
"('MST', 'malnutrition screening tool')",MST,malnutrition screening tool
"('I.R.A.', 'insuficiencia renal aguda')",I.R.A.,insuficiencia renal aguda
"('RG', 'respuesta glicémica')",RG,respuesta glicémica
"('HC', 'hipotiroidismo congénito')",HC,hipotiroidismo congénito
"('ICV', 'indice de calidad de vida')",ICV,indice de calidad de vida
"('RA', 'resultados adversos')",RA,resultados adversos
"('RHA', 'reacción de hemaglutinación indirecta')",RHA,reacción de hemaglutinación indirecta
"('I.P.I.', 'inventario de perfeccionismo infantil')",I.P.I.,inventario de perfeccionismo infantil
"('VPPB', 'vértigo posicional paroxístico benigno')",VPPB,vértigo posicional paroxístico benigno
"('CIRH', 'centro de investigación en reproducción humana')",CIRH,centro de investigación en reproducción humana
"('PAI', 'procesos asistenciales integrados')",PAI,procesos asistenciales integrados
"('cHDL', 'colesterol hdl')",cHDL,colesterol hdl
"('DE', 'de 80,1 años')",DE,"de 80,1 años"
"('FS', 'frutos secos')",FS,frutos secos
"('APMP', 'años perdidos por muerte prematura')",APMP,años perdidos por muerte prematura
"('HACRE', 'hidroarsenicismo crónico regional endémico')",HACRE,hidroarsenicismo crónico regional endémico
"('SER', 'sociedad chilena de enfermedades respiratorias')",SER,sociedad chilena de enfermedades respiratorias
"('VIH 2', 'virus de la inmunodeficiencia humana tipo 2')",VIH 2,virus de la inmunodeficiencia humana tipo 2
"('MAO', 'máxima posthistamínica')",MAO,máxima posthistamínica
"('VRS', 'virus respiratorio sincitial')",VRS,virus respiratorio sincitial
"('EHGNA', 'enfermedad hepática grasa no alcohólica')",EHGNA,enfermedad hepática grasa no alcohólica
"('GSRS', 'gastrointestinales')",GSRS,gastrointestinales
"('LPS', 'laringectomía parcial supracricoidea')",LPS,laringectomía parcial supracricoidea
"('RIETE', 'registro informatizado de pacientes con enfermedad tromboembólica en españa')",RIETE,registro informatizado de pacientes con enfermedad tromboembólica en españa
"('NPH', 'neuralgia posherpética')",NPH,neuralgia posherpética
"('TMI-M', 'tasa de mortalidad infantil por microcefalia')",TMI-M,tasa de mortalidad infantil por microcefalia
"('PCNA', 'proliferacion celular')",PCNA,proliferacion celular
"('tipo I', 'tratamiento de pacientes diabéticos dependientes de la insulina')",tipo I,tratamiento de pacientes diabéticos dependientes de la insulina
"('FID', 'federación internacional de diabetes')",FID,federación internacional de diabetes
"('CN', 'coaching nutricional')",CN,coaching nutricional
"('ETE', 'ecocardiograma transesofágico')",ETE,ecocardiograma transesofágico
"('RPa', 'razones de prevalencia ajustada')",RPa,razones de prevalencia ajustada
"('MTP', 'metilprednisolona')",MTP,metilprednisolona
"('GABA', 'guías alimentarias basadas en alimentos')",GABA,guías alimentarias basadas en alimentos
"('PAI', 'programa ampliado de inmunizaciones')",PAI,programa ampliado de inmunizaciones
"('I.R.F.T.', 'insuficiencia renal functional terminal')",I.R.F.T.,insuficiencia renal functional terminal
"('ODS', 'objetivos de desarrollo sostenible')",ODS,objetivos de desarrollo sostenible
"('LCAT', 'lecitina:colesterol aciltransferasa')",LCAT,lecitina:colesterol aciltransferasa
"('MPGC', 'medicina preventiva y gestión de calidad')",MPGC,medicina preventiva y gestión de calidad
"('E.A.E.', 'encefalomielítis alérgica experimental')",E.A.E.,encefalomielítis alérgica experimental
"('DAI', 'desfibrilador automático implantable')",DAI,desfibrilador automático implantable
"('SEN', 'sociedad española de nefrología')",SEN,sociedad española de nefrología
"('NAAG', 'n-acetil-aspartil-glutamato')",NAAG,n-acetil-aspartil-glutamato
"('FEVD', 'fracción de eyección del ventrículo derecho')",FEVD,fracción de eyección del ventrículo derecho
"('MORTAR', 'mortalidad de pacientes vih (+) chilenos: estudio caso-control')",MORTAR,mortalidad de pacientes vih (+) chilenos: estudio caso-control
"('MeSH', 'medical subjects headings')",MeSH,medical subjects headings
"('BSF', 'bromosulftaleina')",BSF,bromosulftaleina
"('TCH', 'tomografía computada helicoidal')",TCH,tomografía computada helicoidal
"('RPC', 'reacción de polimerasa en cadena')",RPC,reacción de polimerasa en cadena
"('di', 'dosis inicial')",di,dosis inicial
"('Acari', 'abundancia relativa de amblyomma spp.')",Acari,abundancia relativa de amblyomma spp.
"('CCi', 'circunferencia de cintura')",CCi,circunferencia de cintura
"('TARAA', 'terapia antirretroviral altamente activa')",TARAA,terapia antirretroviral altamente activa
"('SPD', 'sistema personalizado de dosificación')",SPD,sistema personalizado de dosificación
"('ABC', 'achievable benchmarks of care')",ABC,achievable benchmarks of care
"('IMIP', 'intención de migrar al interior del país')",IMIP,intención de migrar al interior del país
"('HTA-ALERT', 'hipertensos mediante mensajes de alerta en el teléfono móvil')",HTA-ALERT,hipertensos mediante mensajes de alerta en el teléfono móvil
"('ARNm', 'arn mensajero')",ARNm,arn mensajero
"('ESPII', 'emergencia de salud pública de importancia internacional')",ESPII,emergencia de salud pública de importancia internacional
"('IATTGI', 'intergrupo argentino para el tratamiento de los tumores gastro-intestinales')",IATTGI,intergrupo argentino para el tratamiento de los tumores gastro-intestinales
"('DMA', 'dimetilarsínico')",DMA,dimetilarsínico
"('LPS', 'lipopolisacárido')",LPS,lipopolisacárido
"('PP5', 'proteína placentaria 5')",PP5,proteína placentaria 5
"('IgAs', 'inmunoglobulina-a salival')",IgAs,inmunoglobulina-a salival
"('MMA', 'masas mediastínicas anteriores')",MMA,masas mediastínicas anteriores
"('IR', 'insulino resistencia')",IR,insulino resistencia
"('BN', 'binomial negativa')",BN,binomial negativa
"('ZN', 'ziehl-neelsen')",ZN,ziehl-neelsen
"('PEATC', 'potenciales evocados auditivos del tronco cerebral')",PEATC,potenciales evocados auditivos del tronco cerebral
"('AVK', 'antivitamina k')",AVK,antivitamina k
"('HO', 'hemorragia obstétrica posparto')",HO,hemorragia obstétrica posparto
"('AENP', 'asociación española de nefrología pediátrica')",AENP,asociación española de nefrología pediátrica
"('B.R.', 'biopsias randomizadas')",B.R.,biopsias randomizadas
"('GETMON', 'grupo español para el trasplante de médula osea en niños')",GETMON,grupo español para el trasplante de médula osea en niños
"('R.A.B.D.H.', 'reflejo aurículo-braquio-dorsal heterolateral')",R.A.B.D.H.,reflejo aurículo-braquio-dorsal heterolateral
"('BGN-MR', 'bacilos gram-negativos multirresistentes')",BGN-MR,bacilos gram-negativos multirresistentes
"('VIH', 'virus de inmunodeficiencia humana')",VIH,virus de inmunodeficiencia humana
"('MD', 'merle daubigné')",MD,merle daubigné
"('DC', 'dismorfia costal')",DC,dismorfia costal
"('MVL', 'medicamentos de venta libre')",MVL,medicamentos de venta libre
"('RHC', 'reserva hemodinamica cerebral')",RHC,reserva hemodinamica cerebral
"('SDRA', 'síndrome de dificultad respiratoria aguda')",SDRA,síndrome de dificultad respiratoria aguda
"('RCT', 'receptor de célula t')",RCT,receptor de célula t
"('HNERM', 'hospital nacional de edgardo rebagliati martins')",HNERM,hospital nacional de edgardo rebagliati martins
"('SC', 'síndrome de cushing')",SC,síndrome de cushing
"('IC 95%', 'intervalos de confianza al 95%')",IC 95%,intervalos de confianza al 95%
"('INCMNSZ', 'instituto nacional de ciencias médicas y nutrición salvador zubirán')",INCMNSZ,instituto nacional de ciencias médicas y nutrición salvador zubirán
"('AP-CP', 'autoeficacia para el control de peso')",AP-CP,autoeficacia para el control de peso
"('VHS-1', 'virus del herpes simple tipo 1')",VHS-1,virus del herpes simple tipo 1
"('IR', 'insuficiencia respiratoria')",IR,insuficiencia respiratoria
"('TGT', 'tumores germinales de testículo')",TGT,tumores germinales de testículo
"('STE', 'síndrome tóxico epidémico')",STE,síndrome tóxico epidémico
"('CVP', 'catéter venoso periférico')",CVP,catéter venoso periférico
"('PRUQ', 'perception of restraintuse questionnaire')",PRUQ,perception of restraintuse questionnaire
"('SAMe', 's-adenosil-l-metionina')",SAMe,s-adenosil-l-metionina
"('IR', 'isonimia aleatoria')",IR,isonimia aleatoria
"('TTPA', 'tromboplastina parcial activada')",TTPA,tromboplastina parcial activada
"('apoE', 'apolipoproteína e')",apoE,apolipoproteína e
"('FIVTE', 'fertilización in vitro con transferencia de embriones')",FIVTE,fertilización in vitro con transferencia de embriones
"('TRUS', 'transrectal guiada por ultrasonidos')",TRUS,transrectal guiada por ultrasonidos
"('GEODA', 'grupo de estudio observacional de la dependencia alcohólica')",GEODA,grupo de estudio observacional de la dependencia alcohólica
"('REV-7d', 'revisita a urgencias por ica a 7 días')",REV-7d,revisita a urgencias por ica a 7 días
"('atenolol', 'arterial durante la ergometría. efectos del tratamiento con vasodilatadores (prazosín) versus bloqueadores beta')",atenolol,arterial durante la ergometría. efectos del tratamiento con vasodilatadores (prazosín) versus bloqueadores beta
"('5-FU', '5-fluorouracilo')",5-FU,5-fluorouracilo
"('MAI', 'metacognición')",MAI,metacognición
"('atPIG', 'activador tisular del plasminógeno')",atPIG,activador tisular del plasminógeno
"('EAP', 'equipos de atención primaria')",EAP,equipos de atención primaria
"('VP', 'volumen prostático')",VP,volumen prostático
"('RNMBP', 'recién nacido de muy bajo peso')",RNMBP,recién nacido de muy bajo peso
"('FINC-NA', 'familia en los cuidados de enfermería. validación de la versión española')",FINC-NA,familia en los cuidados de enfermería. validación de la versión española
"('CMJ', 'counter movement jump')",CMJ,counter movement jump
"('TCS', 'trastornos por consumo de sustancias')",TCS,trastornos por consumo de sustancias
"('ARIA', 'alérgica y su impacto en asma')",ARIA,alérgica y su impacto en asma
"('BXO', 'balanitis xerotica obliterans')",BXO,balanitis xerotica obliterans
"('LAL', 'leucemia aguda linfoblástica')",LAL,leucemia aguda linfoblástica
"('CV', 'carcinoma vesical')",CV,carcinoma vesical
"('CES', 'colangitis esclerosante secundaria')",CES,colangitis esclerosante secundaria
"('ASIS', 'análisis de situación de salud')",ASIS,análisis de situación de salud
"('SOCHIPE', 'sociedad chilena de pediatría')",SOCHIPE,sociedad chilena de pediatría
"('NDPD', 'neuropatía diabética periférica dolorosa')",NDPD,neuropatía diabética periférica dolorosa
"('SAMU', 'servicio de atención médica urgente')",SAMU,servicio de atención médica urgente
"('IC', 'indicadores de calidad')",IC,indicadores de calidad
"('US', 'ultrasonido')",US,ultrasonido
"('I-V', 'intervalo')",I-V,intervalo
"('EE', 'esofagitis eosinofílica')",EE,esofagitis eosinofílica
"('RH""', 'rh segunda')","RH""",rh segunda
"('NPT', 'nutrición parenteral')",NPT,nutrición parenteral
"('IMCEST', 'infarto agudo de miocardio con elevación del segmento st')",IMCEST,infarto agudo de miocardio con elevación del segmento st
"('HI B', 'h. influenzae tipo b')",HI B,h. influenzae tipo b
"('p&lt', 'previo del alcohol en el momento t0')",p&lt,previo del alcohol en el momento t0
"('VPM', 'volumen plaquetario medio')",VPM,volumen plaquetario medio
"('MMM', 'marihuana motives measure')",MMM,marihuana motives measure
"('E1', 'españa 0001')",E1,españa 0001
"('CCI', 'citorreducción de intervalo')",CCI,citorreducción de intervalo
"('IDH', 'insatisfechas (nbi), índice de desarrollo humano')",IDH,"insatisfechas (nbi), índice de desarrollo humano"
"('DM2', 'diabetes mellitus 2')",DM2,diabetes mellitus 2
"('TAES', 'tratamiento acortado estrictamente supervisado')",TAES,tratamiento acortado estrictamente supervisado
"('ENDS', 'encuesta nacional de salud')",ENDS,encuesta nacional de salud
"('PPA', 'placa periarticular')",PPA,placa periarticular
"('MN', 'mortalidad neonatal')",MN,mortalidad neonatal
"('ditizona', 'difeniltiocarbazona')",ditizona,difeniltiocarbazona
"('IU', 'infección urinaria')",IU,infección urinaria
"('VFC', 'variabilidad de la frecuencia cardiaca')",VFC,variabilidad de la frecuencia cardiaca
"('IV', 'investigación en cardiología clínica')",IV,investigación en cardiología clínica
"('PRP', 'plasma rico en plaquetas')",PRP,plasma rico en plaquetas
"('AINE', 'aintiinflamatorios no esteroideos')",AINE,aintiinflamatorios no esteroideos
"('ADO', 'antidiabeticos orales')",ADO,antidiabeticos orales
"('NNIS', 'nosocomial infection surveillance')",NNIS,nosocomial infection surveillance
"('ZBS', 'zonas básicas de salud')",ZBS,zonas básicas de salud
"('ELA', 'esclerosis lateral amiotrófica')",ELA,esclerosis lateral amiotrófica
"('SENPE', 'sociedad espanola de nutricion parenteral y enteral')",SENPE,sociedad espanola de nutricion parenteral y enteral
"('DMNID', 'diabetes mellitus no insulino dependiente')",DMNID,diabetes mellitus no insulino dependiente
"('SOAT', 'seguro obligatorio contra accidentes de tránsito')",SOAT,seguro obligatorio contra accidentes de tránsito
"('ISUP', 'international society of urological pathology')",ISUP,international society of urological pathology
"('SENEC', 'sociedades españolas de neurocirugía')",SENEC,sociedades españolas de neurocirugía
"('AP', 'anatomopatológico')",AP,anatomopatológico
"('EP', 'en profundidad')",EP,en profundidad
"('FISTAC', 'físicos del síndrome de temor a caerse en ancianos')",FISTAC,físicos del síndrome de temor a caerse en ancianos
"('VIP', 'vejiga ileal padovana')",VIP,vejiga ileal padovana
"('NP', 'nanopartículas')",NP,nanopartículas
"('Fontana', 'forma de ""y"" usando sutura mecánica no reabsorbible')",Fontana,"forma de ""y"" usando sutura mecánica no reabsorbible"
"('PSMAR', 'parc de salut mar')",PSMAR,parc de salut mar
"('NL', 'nefropatía lúpica')",NL,nefropatía lúpica
"('TTPa', 'tromboplastina parcial activada')",TTPa,tromboplastina parcial activada
"('PVIH/sida', 'personas con vih/sida')",PVIH/sida,personas con vih/sida
"('DSD', 'desarrollo sexual diferente')",DSD,desarrollo sexual diferente
"('MD', 'mediana')",MD,mediana
"('CSS', 'campaña sobrevivir a la sepsis')",CSS,campaña sobrevivir a la sepsis
"('LRINEC', 'laboratory risk indicator for necrotizing fasciitis')",LRINEC,laboratory risk indicator for necrotizing fasciitis
"('LA', 'lactancia artificial')",LA,lactancia artificial
"('HTA', 'histerectomía abdominal')",HTA,histerectomía abdominal
"('EICH', 'enfermedad del injerto contra huésped')",EICH,enfermedad del injerto contra huésped
"('DE 3,8', 'de 11,8')","DE 3,8","de 11,8"
"('MCF', 'malformaciones creaneofaciales')",MCF,malformaciones creaneofaciales
"('CPRE', 'colangiopancreatografía retrógrada endoscópica')",CPRE,colangiopancreatografía retrógrada endoscópica
"('VD', 'volumen testicular diferencial')",VD,volumen testicular diferencial
"('GFA', 'glotograma de flujo aéreo')",GFA,glotograma de flujo aéreo
"('GIM', 'grosor intimo-medial carotídeo')",GIM,grosor intimo-medial carotídeo
"('PFH', 'pruebas de funcionamiento hepático')",PFH,pruebas de funcionamiento hepático
"('VFP', 'vaporizacion fotoselectiva de la prostata')",VFP,vaporizacion fotoselectiva de la prostata
"('HS20', 'heparina sódica 20 ul/ml')",HS20,heparina sódica 20 ul/ml
"('RNP-BP', 'recién nacido prematuro hospitalizado de bajo peso')",RNP-BP,recién nacido prematuro hospitalizado de bajo peso
"('VM', 'ventilación mecánica')",VM,ventilación mecánica
"('IUE', 'incontinencia de orina de esfuerzo')",IUE,incontinencia de orina de esfuerzo
"('REVERSE', 'registro sobre la cardioversión en españa')",REVERSE,registro sobre la cardioversión en españa
"('WURS', 'wender-utah rating scale')",WURS,wender-utah rating scale
"('CV', 'calcificación vascular')",CV,calcificación vascular
"('CVP', 'complejos ventriculares prematuros')",CVP,complejos ventriculares prematuros
"('PA', 'pancreatitis aguda')",PA,pancreatitis aguda
"('TAS', 'tensión arterial sistólica')",TAS,tensión arterial sistólica
"('I.E.I.', 'informe de enfermería al ingreso')",I.E.I.,informe de enfermería al ingreso
"('VSG-GP', 'valoración subjetiva global generada por el paciente')",VSG-GP,valoración subjetiva global generada por el paciente
"('SMAQ', 'simplified medication adherence questionnaire')",SMAQ,simplified medication adherence questionnaire
"('IRCT', 'insuficiencia renal crónica terminal')",IRCT,insuficiencia renal crónica terminal
"('EM', 'errores de medicación')",EM,errores de medicación
"('SCA', 'síndrome coronario agudo')",SCA,síndrome coronario agudo
"('VPH-AR', 'virus del papiloma humano de alto riesgo')",VPH-AR,virus del papiloma humano de alto riesgo
"('CH', 'colágeno hidrolizado')",CH,colágeno hidrolizado
"('EP', 'embolización percutánea')",EP,embolización percutánea
"('DAS28a', 'das28 al inicio')",DAS28a,das28 al inicio
"('ZBS', 'zona básica de salud')",ZBS,zona básica de salud
"('SVP', 'sinovitis vellonodular pigmentada')",SVP,sinovitis vellonodular pigmentada
"('VPR', 'volumen plaquetario relativo')",VPR,volumen plaquetario relativo
"('AAO-HNS', 'academy of otolaryngology-head and neck surgery')",AAO-HNS,academy of otolaryngology-head and neck surgery
"('CBI', 'cambridge behavioural inventory')",CBI,cambridge behavioural inventory
"('HCC', 'hepatitis crónica c')",HCC,hepatitis crónica c
"('SAMR-C', 'staphylococcus aureusmeticilino resistente adquirido en la comunidad')",SAMR-C,staphylococcus aureusmeticilino resistente adquirido en la comunidad
"('COPD-PS', 'chronic obstructive pulmonary disease-population screener')",COPD-PS,chronic obstructive pulmonary disease-population screener
"('EDTA', 'etilén-diamino-tetraacético')",EDTA,etilén-diamino-tetraacético
"('KOOS', 'knee injury and osteoarthritis outcome score')",KOOS,knee injury and osteoarthritis outcome score
"('AFHAP', 'abordaje farmacológico de la hipertensión en atención primaria')",AFHAP,abordaje farmacológico de la hipertensión en atención primaria
"('BU', 'basquetbolistas universitarias')",BU,basquetbolistas universitarias
"('SAF', 'síndrome antifosfolípido')",SAF,síndrome antifosfolípido
"('P/T', 'peso/talla')",P/T,peso/talla
"('RACat', 'registro de artroplastias de cataluña')",RACat,registro de artroplastias de cataluña
"('NIC', 'neoplasia intraepitelial cervical')",NIC,neoplasia intraepitelial cervical
"('TAP', 'tenotomía y aponeurotomía percutánea')",TAP,tenotomía y aponeurotomía percutánea
"('DIB-R', 'diagnostic interview for bordelines-revised')",DIB-R,diagnostic interview for bordelines-revised
"('CFQ', 'creatinfosfoquinasa')",CFQ,creatinfosfoquinasa
"('EF', 'encefalolitógeno humano')",EF,encefalolitógeno humano
"('NPA', 'nefropatía secundaria a púrpura anafilactoide')",NPA,nefropatía secundaria a púrpura anafilactoide
"('NAC', 'neumonía adquirida en comunidad')",NAC,neumonía adquirida en comunidad
"('WOS', 'web of science')",WOS,web of science
"('PCA', 'persistencia del conducto arterioso')",PCA,persistencia del conducto arterioso
"('NMO', 'neuromielitis optica')",NMO,neuromielitis optica
"('RN', 'recién nacido')",RN,recién nacido
"('CS', 'caseínas')",CS,caseínas
"('QTneo', 'quimioterapia neoadyuvante')",QTneo,quimioterapia neoadyuvante
"('AQ20', 'airways questionnaire 20')",AQ20,airways questionnaire 20
"('kD', 'kilodalton')",kD,kilodalton
"('TDAH', 'trastorno por déficit de atención hiperactividad')",TDAH,trastorno por déficit de atención hiperactividad
"('Mesh', 'medical subject heading terms')",Mesh,medical subject heading terms
"('VHS', 'virus del herpes simple')",VHS,virus del herpes simple
"('HPS', 'hiperglucemia postoperatoria severa')",HPS,hiperglucemia postoperatoria severa
"('EVC', 'enfermedad vascular cerebral')",EVC,enfermedad vascular cerebral
"('OPS', 'organización panamericana de la salud')",OPS,organización panamericana de la salud
"('JWC', 'journal of wound care')",JWC,journal of wound care
"('LNH', 'linfomas no hodgkinianos')",LNH,linfomas no hodgkinianos
"('EMA IgA', 'el rendimiento de anticuerpos antitransglutaminasa iga (anti-tg2 iga), antiendomisio iga')",EMA IgA,"el rendimiento de anticuerpos antitransglutaminasa iga (anti-tg2 iga), antiendomisio iga"
"('MFyC', 'medicina familiar y comunitaria')",MFyC,medicina familiar y comunitaria
"('UPI', 'uso problemático de internet')",UPI,uso problemático de internet
"('CTCA', 'cierre transcateterismo del conducto arterioso')",CTCA,cierre transcateterismo del conducto arterioso
"('PSL', 'proteína de suero de leche')",PSL,proteína de suero de leche
"('UF', 'ultrafiltración')",UF,ultrafiltración
"('TUI', 'tracto urinario inferior')",TUI,tracto urinario inferior
"('VINCat', 'vigilancia de la infección nosocomial en cataluña')",VINCat,vigilancia de la infección nosocomial en cataluña
"('STAI', 'state-trait anxiety inventory')",STAI,state-trait anxiety inventory
"('ECVs', 'enfermedades cardiovasculares')",ECVs,enfermedades cardiovasculares
"('MRC', 'medical research council')",MRC,medical research council
"('II', 'iniciales')",II,iniciales
"('CT', 'células troncales')",CT,células troncales
"('PEVAC', 'pie equino varo aducto congénito')",PEVAC,pie equino varo aducto congénito
"('NET', 'necrosis epidérmica tóxica')",NET,necrosis epidérmica tóxica
"('DE', 'de enfermería fue 29,9')",DE,"de enfermería fue 29,9"
"('TAB', 'tasa anual de brotes')",TAB,tasa anual de brotes
"('SN', 'síndrome nefrótico')",SN,síndrome nefrótico
"('BAAF', 'biopsia con aguja fina')",BAAF,biopsia con aguja fina
"('APPCC', 'análisis de peligros y puntos de control críticos')",APPCC,análisis de peligros y puntos de control críticos
"('VPI', 'volumen pulmonar ipsilateral')",VPI,volumen pulmonar ipsilateral
"('IRAG', 'insuficiencia respiratoria aguda grave')",IRAG,insuficiencia respiratoria aguda grave
"('ICA', 'insuficiencia cardiaca aguda')",ICA,insuficiencia cardiaca aguda
"('LSM', 'lipomatosis simétrica múltiple')",LSM,lipomatosis simétrica múltiple
"('QSM', 'quejas subjetivas de memoria')",QSM,quejas subjetivas de memoria
"('RCV', 'riesgo cardiovascular')",RCV,riesgo cardiovascular
"('Gln', 'glutamina')",Gln,glutamina
"('CDT', 'carbohidratos')",CDT,carbohidratos
"('IRSPC', 'iowa rating scale for personality change')",IRSPC,iowa rating scale for personality change
"('IRB-RAT', 'institutional review board researcher assessment tool')",IRB-RAT,institutional review board researcher assessment tool
"('TRS', 'terapia renal sustitutoria')",TRS,terapia renal sustitutoria
"('BDI', 'beck depression inventory')",BDI,beck depression inventory
"('FESNAD', 'federación española de sociedades de alimentación, nutrición y dietética')",FESNAD,"federación española de sociedades de alimentación, nutrición y dietética"
"('PAPTAF', 'punción-aspiración pulmonar transtorácica con aguja fina')",PAPTAF,punción-aspiración pulmonar transtorácica con aguja fina
"('FAL', 'fosfatasa alcalina')",FAL,fosfatasa alcalina
"('CEIC', 'comités éticos de investigación clínica')",CEIC,comités éticos de investigación clínica
"('TIG', 'transferencia intratubaria de gametos')",TIG,transferencia intratubaria de gametos
"('CEIm', 'con medicamentos')",CEIm,con medicamentos
"('AC', 'análisis conjunto')",AC,análisis conjunto
"('MUST', 'malnutrition universal screening tool')",MUST,malnutrition universal screening tool
"('GENTE', 'grupo de estudio de nuevas terapias de enfermedades reumáticas')",GENTE,grupo de estudio de nuevas terapias de enfermedades reumáticas
"('TSA', 'transfusión de sangre alogénica')",TSA,transfusión de sangre alogénica
"('SGNC', 'sensibilidad al gluten no celíaca')",SGNC,sensibilidad al gluten no celíaca
"('GBA', 'glucemia basal alterada')",GBA,glucemia basal alterada
"('ASR', 'acné\xa0severo y recurrente')",ASR,acné severo y recurrente
"('LRH', 'litiasis renal hipercalciúrica')",LRH,litiasis renal hipercalciúrica
"('L/E', 'lecitina esfingomielina')",L/E,lecitina esfingomielina
"('ARAHIP', 'atención integral del recién nacido con agresión hipóxico-isquémica perinatal')",ARAHIP,atención integral del recién nacido con agresión hipóxico-isquémica perinatal
"('IC', 'imagen corporal')",IC,imagen corporal
"('MOR', 'movimiento oculares rapidos')",MOR,movimiento oculares rapidos
"('ANCA', 'anticuerpos frente al citoplasma de los neutrófilos')",ANCA,anticuerpos frente al citoplasma de los neutrófilos
"('DEA', 'desfibrilador externo automatizado')",DEA,desfibrilador externo automatizado
